arquivo,combinacao,makespan_cpm,makespan_recursos,razao_makespan,ativas_media,ativas_p90,ativas_max
j6043_6.sm,43,84,84,1.0,3.869047619047619,6.0,6
j6043_7.sm,43,89,89,1.0,3.4719101123595504,5.0,6
j6043_8.sm,43,69,69,1.0,5.028985507246377,7.0,8
j6043_9.sm,43,70,71,1.0142857142857142,4.154929577464789,5.0,6
j6044_1.sm,44,84,84,1.0,3.8452380952380953,6.0,8
j6044_10.sm,44,65,65,1.0,4.615384615384615,8.0,9
j6044_2.sm,44,68,68,1.0,4.794117647058823,8.0,9
j6044_3.sm,44,87,87,1.0,3.9770114942528734,7.0,9
j6044_4.sm,44,77,77,1.0,4.740259740259741,7.400000000000006,9
j6044_5.sm,44,74,74,1.0,4.135135135135135,6.0,6
j6044_6.sm,44,81,81,1.0,3.950617283950617,6.0,8
j6044_7.sm,44,76,76,1.0,3.9342105263157894,7.0,10
j6044_8.sm,44,83,83,1.0,3.8433734939759034,6.0,7
j6044_9.sm,44,65,65,1.0,5.0,7.600000000000001,9
j6045_1.sm,45,71,127,1.7887323943661972,2.4015748031496065,3.0,4
j6045_10.sm,45,61,147,2.4098360655737703,2.122448979591837,3.0,3
